temp,pre,humi
23.73201902,100.7731754,65.49310312
23.72194891,100.7798844,65.51950311
23.71691386,100.7680181,65.41287977
23.70180869,100.7794649,65.29922045
23.69173858,100.7723369,65.39807363
23.69173858,100.7751042,65.30333195
23.69173858,100.7723369,65.23088063
23.67159837,100.7746846,65.18337612
23.66152827,100.7841598,65.14290615
23.66152827,100.7786255,65.115041
23.66152827,100.7813926,65.15962513
23.64138806,100.7754385,65.06197004
23.64138806,100.7699044,64.93379116
23.62124787,100.7750185,64.90859224
23.62124787,100.7777855,65.00890277
23.63131796,100.773845,64.92119147
23.62124787,100.7777855,64.91416512
23.61621282,100.7742218,64.82427215
23.61621282,100.7742218,64.78526115
23.61117777,100.7817258,64.66750149
23.60110767,100.7745984,64.7329294
23.59607262,100.7738016,64.77121455
23.59607262,100.7821022,64.78793292
23.60110767,100.7773653,64.74407524
23.59607262,100.7821022,64.64861065
23.57089739,100.7808849,64.67285517
23.5507572,100.7776975,64.54179112
23.5507572,100.7776975,64.58637175
23.56586234,100.780088,64.58854121
23.56082729,100.7848246,65.03360182
23.54572216,100.7769007,65.03698927
23.5507572,100.7832308,64.94299558
23.54068711,100.7871703,65.12540668
23.53565207,100.78914,65.11353459
23.52558198,100.7903127,65.11207655
23.51551189,100.7887188,65.39473942
23.52558198,100.7958458,65.29592631
23.53061702,100.7938762,65.39693594
23.52558198,100.7958458,65.36277828
23.52054694,100.7950488,65.33976288
23.51047685,100.7851553,65.30487484
23.50040677,100.7863279,65.31455391
23.47523156,100.7823432,65.16606389
23.47019652,100.7926116,65.24889179
23.45005636,100.7866573,65.10114119
23.43998628,100.7850633,65.08854251
23.41984613,100.7874076,65.09119698
23.41984613,100.7874076,65.31399237
23.40977605,100.7885796,65.11758866
23.36949576,100.7794375,65.32895428
23.37956583,100.7865633,65.30814089
23.37956583,100.794861,65.26358695
23.34432059,100.8058759,65.19721248
23.33928556,100.8023129,65.30228941
23.34432059,100.7948128,65.28631448
23.36446073,100.7980014,65.43960044
23.39970598,100.7980495,65.60623472
23.41481109,100.7893766,65.78107806
23.41984613,100.7901736,65.67043432
23.43495124,100.7953309,65.63922454
23.4299162,100.8028323,65.59393491
23.42488116,100.8048013,65.60990825
23.42488116,100.8075674,65.55978442
23.41984613,100.801238,65.43095405
23.41984613,100.8040041,65.50335686
23.42488116,100.8075674,65.54864569
23.41984613,100.8123024,65.60360433
23.4299162,100.8138969,65.51596293
23.41481109,100.8225696,65.50262332
23.41984613,100.8288991,65.43652355
23.42488116,100.8296965,65.3425725
23.42488116,100.8241642,65.47624303
23.40474101,100.823741,65.47887938
23.39970598,100.8229437,65.33891379
23.39467094,100.8249123,65.44399794
23.3896359,100.8324129,65.32074241
23.37956583,100.8308181,65.40281607
23.36446073,100.82566,65.46187557
23.38460087,100.8316155,65.47037723
23.36446073,100.8311918,65.29480853
23.35942569,100.835926,65.30521515
23.34935563,100.8287995,65.19237372
23.35439066,100.8323627,65.27107017
23.33928556,100.8382677,65.19091332
23.34432059,100.8390652,65.21391928
